Medicamento,Nome_do_Arquivo_PDF,Doencas_CIDs,Caminho_Local,URL_Origem
ciclofosfamida,68_ciclofosfamida_anemia_hemolitica_v7.pdf,,pdfs_bmed_alto_custo\68_ciclofosfamida_anemia_hemolitica_v7.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/68_ciclofosfamida_anemia_hemolitica_v7.pdf
ciclofosfamida,64_ciclofosfamida_esclerose_sistemica_v4.pdf,,pdfs_bmed_alto_custo\64_ciclofosfamida_esclerose_sistemica_v4.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/64_ciclofosfamida_esclerose_sistemica_v4.pdf
ciclofosfamida,65_ciclofosfamida_lupus_erimatoso_sistemico_v4.pdf,,pdfs_bmed_alto_custo\65_ciclofosfamida_lupus_erimatoso_sistemico_v4.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/65_ciclofosfamida_lupus_erimatoso_sistemico_v4.pdf
ciclofosfamida,66_ciclofosfamida_purpura_v3_1_.pdf,,pdfs_bmed_alto_custo\66_ciclofosfamida_purpura_v3_1_.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/66_ciclofosfamida_purpura_v3_1_.pdf
ciclofosfamida,67_ciclofosfamida_sindrome_nefrotica_adultos_v10.pdf,,pdfs_bmed_alto_custo\67_ciclofosfamida_sindrome_nefrotica_adultos_v10.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/67_ciclofosfamida_sindrome_nefrotica_adultos_v10.pdf
ciclofosfamida,67b_ciclofosfamida_sindrome_nefrotica_criancas_v7.pdf,,pdfs_bmed_alto_custo\67b_ciclofosfamida_sindrome_nefrotica_criancas_v7.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/67b_ciclofosfamida_sindrome_nefrotica_criancas_v7.pdf
ciclofosfamida,ciclofosfamida_sindrome_de_falencia_medular_v5.pdf,,pdfs_bmed_alto_custo\ciclofosfamida_sindrome_de_falencia_medular_v5.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/ciclofosfamida_sindrome_de_falencia_medular_v5.pdf
ciclosporina,ciclosporina_anemia_hemolitica_autoimune_v11.pdf,,pdfs_bmed_alto_custo\ciclosporina_anemia_hemolitica_autoimune_v11.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/ciclosporina_anemia_hemolitica_autoimune_v11.pdf
ciclosporina,485_ciclosporina_artrite_idiopatica_juvenil_v8.pdf,,pdfs_bmed_alto_custo\485_ciclosporina_artrite_idiopatica_juvenil_v8.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/485_ciclosporina_artrite_idiopatica_juvenil_v8.pdf
ciclosporina,71_ciclosporina_artrite_psoriasica_v6.pdf,,pdfs_bmed_alto_custo\71_ciclosporina_artrite_psoriasica_v6.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/71_ciclosporina_artrite_psoriasica_v6.pdf
ciclosporina,72_ciclosporina_artrite_reumatoide_v5.pdf,,pdfs_bmed_alto_custo\72_ciclosporina_artrite_reumatoide_v5.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/72_ciclosporina_artrite_reumatoide_v5.pdf
ciclosporina,461_ciclosporina_dermatite_atopica_v7.pdf,,pdfs_bmed_alto_custo\461_ciclosporina_dermatite_atopica_v7.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/461_ciclosporina_dermatite_atopica_v7.pdf
ciclosporina,73_ciclosporina_dermatomiosite_v3.pdf,,pdfs_bmed_alto_custo\73_ciclosporina_dermatomiosite_v3.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/73_ciclosporina_dermatomiosite_v3.pdf
ciclosporina,80_ciclosporina_transplante_cardiaco_v4.pdf,,pdfs_bmed_alto_custo\80_ciclosporina_transplante_cardiaco_v4.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/80_ciclosporina_transplante_cardiaco_v4.pdf
ciclosporina,81_ciclosporina_transplantecoracaopulmao_12_22.pdf,,pdfs_bmed_alto_custo\81_ciclosporina_transplantecoracaopulmao_12_22.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/81_ciclosporina_transplantecoracaopulmao_12_22.pdf
ciclosporina,282_ciclosporina_transplante_hepatico_adulto_v4.pdf,,pdfs_bmed_alto_custo\282_ciclosporina_transplante_hepatico_adulto_v4.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/282_ciclosporina_transplante_hepatico_adulto_v4.pdf
ciclosporina,83_ciclosporina_transplante_hepatico_pediatria_v4.pdf,,pdfs_bmed_alto_custo\83_ciclosporina_transplante_hepatico_pediatria_v4.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/83_ciclosporina_transplante_hepatico_pediatria_v4.pdf
ciclosporina,84_ciclosporina_transplante_de_medula_pancreas_v13.pdf,,pdfs_bmed_alto_custo\84_ciclosporina_transplante_de_medula_pancreas_v13.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/84_ciclosporina_transplante_de_medula_pancreas_v13.pdf
ciclosporina,85_ciclosporina_transplante_renal_v4.pdf,,pdfs_bmed_alto_custo\85_ciclosporina_transplante_renal_v4.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/85_ciclosporina_transplante_renal_v4.pdf
ciclosporina,75_ciclosporina_lupus_v4.pdf,,pdfs_bmed_alto_custo\75_ciclosporina_lupus_v4.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/75_ciclosporina_lupus_v4.pdf
ciclosporina,76_ciclosporina_miastenia_gravis_v9.pdf,,pdfs_bmed_alto_custo\76_ciclosporina_miastenia_gravis_v9.pdf,https://saude.sp.gov.br/resources/ses/perfil/gestor/assistencia-farmaceutica/medicamentos-dos-componentes-da-assistencia-farmaceutica/medicamentos-do-componente-especializado-da-assistencia-farmaceutica/protocolos-clinicos-e-diretrizes-terapeuticas-do-ministerio-da-saude/76_ciclosporina_miastenia_gravis_v9.pdf
ciclosporina,77_ciclosporina_psoriase_v11.pdf,,pdfs_bmed_alto_custo\77_ciclosporina_psoriase_v11.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/77_ciclosporina_psoriase_v11.pdf
ciclosporina,78_ciclosporina_retocolite_ulcerativa_v11.pdf,,pdfs_bmed_alto_custo\78_ciclosporina_retocolite_ulcerativa_v11.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/78_ciclosporina_retocolite_ulcerativa_v11.pdf
ciclosporina,ciclosporina_sindrome_de_falencia_medular_v5.pdf,,pdfs_bmed_alto_custo\ciclosporina_sindrome_de_falencia_medular_v5.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/ciclosporina_sindrome_de_falencia_medular_v5.pdf
ciclosporina,79_ciclosporina_sindrome_nefrotica_adultos_v10.pdf,,pdfs_bmed_alto_custo\79_ciclosporina_sindrome_nefrotica_adultos_v10.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/79_ciclosporina_sindrome_nefrotica_adultos_v10.pdf
ciclosporina,79b_ciclosporina_sindrome_nefrotica_crianca_v5.pdf,,pdfs_bmed_alto_custo\79b_ciclosporina_sindrome_nefrotica_crianca_v5.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/79b_ciclosporina_sindrome_nefrotica_crianca_v5.pdf
ciclosporina,86_ciclosporina_uveites_v4.pdf,,pdfs_bmed_alto_custo\86_ciclosporina_uveites_v4.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/86_ciclosporina_uveites_v4.pdf
cinacalcete,292_cinacalcete_disturbio_mineral_v12.pdf,,pdfs_bmed_alto_custo\292_cinacalcete_disturbio_mineral_v12.pdf,http://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/292_cinacalcete_disturbio_mineral_v12.pdf
ciprofibrato,87_ciprofibrato_dislipidemia_v7.pdf,,pdfs_bmed_alto_custo\87_ciprofibrato_dislipidemia_v7.pdf,http://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/87_ciprofibrato_dislipidemia_v7.pdf
ciproterona,89_ciproterona_puberdade_precoce_central_v19.pdf,,pdfs_bmed_alto_custo\89_ciproterona_puberdade_precoce_central_v19.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/89_ciproterona_puberdade_precoce_central_v19.pdf
ciproterona,90_ciproterona_ovarios_policistico_v14.pdf,,pdfs_bmed_alto_custo\90_ciproterona_ovarios_policistico_v14.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/90_ciproterona_ovarios_policistico_v14.pdf
clobazam,91_clobazam_epilepsia_v18.pdf,,pdfs_bmed_alto_custo\91_clobazam_epilepsia_v18.pdf,http://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/91_clobazam_epilepsia_v18.pdf
clopidogrel,93_clopidogrel_sindromescoronarianasagudas_12_22.pdf,,pdfs_bmed_alto_custo\93_clopidogrel_sindromescoronarianasagudas_12_22.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/93_clopidogrel_sindromescoronarianasagudas_12_22.pdf
cloroquina,94_cloroquina_artrite_reumatoide_v6.pdf,,pdfs_bmed_alto_custo\94_cloroquina_artrite_reumatoide_v6.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/94_cloroquina_artrite_reumatoide_v6.pdf
cloroquina,95_cloroquina_lupus_v5.pdf,,pdfs_bmed_alto_custo\95_cloroquina_lupus_v5.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/95_cloroquina_lupus_v5.pdf
cloroquina,486_cloroquina_artrite_idiopatica_juvenil_v5.pdf,,pdfs_bmed_alto_custo\486_cloroquina_artrite_idiopatica_juvenil_v5.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/486_cloroquina_artrite_idiopatica_juvenil_v5.pdf
clozapina,291_clozapina_parkinson_v2_09-24.pdf,,pdfs_bmed_alto_custo\291_clozapina_parkinson_v2_09-24.pdf,https://saude.sp.gov.br/resources/ses/perfil/gestor/assistencia-farmaceutica/medicamentos-do-componente-especializado-da-assistencia-farmaceutica/291_clozapina_parkinson_v2_09-24.pdf
clozapina,96_clozapina_esquizofrenia_v18.pdf,,pdfs_bmed_alto_custo\96_clozapina_esquizofrenia_v18.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/96_clozapina_esquizofrenia_v18.pdf
clozapina,260_clozapina_transtorno_afetivo_bipolar_v12.pdf,,pdfs_bmed_alto_custo\260_clozapina_transtorno_afetivo_bipolar_v12.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/260_clozapina_transtorno_afetivo_bipolar_v12.pdf
clozapina,97_clozapina_transtorno_esquizoafetivo_v15.pdf,,pdfs_bmed_alto_custo\97_clozapina_transtorno_esquizoafetivo_v15.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/97_clozapina_transtorno_esquizoafetivo_v15.pdf
codeína,codeina_dor_v21.pdf,,pdfs_bmed_alto_custo\codeina_dor_v21.pdf,http://saude.sp.gov.br/resources/ses/perfil/gestor/assistencia-farmaceutica/medicamentos-do-componente-especializado-da-assistencia-farmaceutica/codeina_dor_v21.pdf
danazol,100_danazol_angioedema_v3.pdf,,pdfs_bmed_alto_custo\100_danazol_angioedema_v3.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/100_danazol_angioedema_v3.pdf
danazol,danazol_endometriose_v15.pdf,,pdfs_bmed_alto_custo\danazol_endometriose_v15.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/danazol_endometriose_v15.pdf
danazol,102_danazol_lupus_v14.pdf,,pdfs_bmed_alto_custo\102_danazol_lupus_v14.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/102_danazol_lupus_v14.pdf
danazol,103_danazol_purpura_v11_1_.pdf,,pdfs_bmed_alto_custo\103_danazol_purpura_v11_1_.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/103_danazol_purpura_v11_1_.pdf
dapagliflozina,498_dapagliflozina_diabetes_tipoii_v7.pdf,,pdfs_bmed_alto_custo\498_dapagliflozina_diabetes_tipoii_v7.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/498_dapagliflozina_diabetes_tipoii_v7.pdf
dapagliflozina,498_dapagliflozina_estrategias_para_atenuar_a_progressao_da_doenca_renal_cronica_v4.pdf,,pdfs_bmed_alto_custo\498_dapagliflozina_estrategias_para_atenuar_a_progressao_da_doenca_renal_cronica_v4.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/498_dapagliflozina_estrategias_para_atenuar_a_progressao_da_doenca_renal_cronica_v4.pdf
dapagliflozina,498_dapagliflozina_insuficiencia_cardiaca_com_ejecao_reduzida_v9.pdf,,pdfs_bmed_alto_custo\498_dapagliflozina_insuficiencia_cardiaca_com_ejecao_reduzida_v9.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/498_dapagliflozina_insuficiencia_cardiaca_com_ejecao_reduzida_v9.pdf
deferasirox,104_deferasirox_sobrecarga_ferro_v17.pdf,,pdfs_bmed_alto_custo\104_deferasirox_sobrecarga_ferro_v17.pdf,http://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/104_deferasirox_sobrecarga_ferro_v17.pdf
deferiprona,105_deferiprona_sobrecarga_ferro_v12_.pdf,,pdfs_bmed_alto_custo\105_deferiprona_sobrecarga_ferro_v12_.pdf,http://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/105_deferiprona_sobrecarga_ferro_v12_.pdf
desferroxamina,279_desferroxamina_disturbio_mineral_osseo_drc_v16_2_.pdf,,pdfs_bmed_alto_custo\279_desferroxamina_disturbio_mineral_osseo_drc_v16_2_.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/279_desferroxamina_disturbio_mineral_osseo_drc_v16_2_.pdf
desferroxamina,107_desferroxamina_sobrecarga_ferro_v12.pdf,,pdfs_bmed_alto_custo\107_desferroxamina_sobrecarga_ferro_v12.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/107_desferroxamina_sobrecarga_ferro_v12.pdf
desmopressina,108_desmopressina_diabetes__v15_1_.pdf,,pdfs_bmed_alto_custo\108_desmopressina_diabetes__v15_1_.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/108_desmopressina_diabetes__v15_1_.pdf
donepezila,109_donepezila_alzheimer_v23.pdf,,pdfs_bmed_alto_custo\109_donepezila_alzheimer_v23.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/109_donepezila_alzheimer_v23.pdf
eltrombopague olamina,464_eltrombopague_purpurati_v7.pdf,,pdfs_bmed_alto_custo\464_eltrombopague_purpurati_v7.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/464_eltrombopague_purpurati_v7.pdf
eltrombopague olamina,eltrombopague_sindrome_de_falencia_medular__antigo_aa__v3_1_.pdf,,pdfs_bmed_alto_custo\eltrombopague_sindrome_de_falencia_medular__antigo_aa__v3_1_.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/eltrombopague_sindrome_de_falencia_medular__antigo_aa__v3_1_.pdf
enoxaparina sódica,enoxaparina_tromboembolismo_v16.pdf,,pdfs_bmed_alto_custo\enoxaparina_tromboembolismo_v16.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/enoxaparina_tromboembolismo_v16.pdf
entacapona,111_entacapona_parkinson_v20.pdf,,pdfs_bmed_alto_custo\111_entacapona_parkinson_v20.pdf,http://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/111_entacapona_parkinson_v20.pdf
etanercepte,113_etanercepte_artrite_psoriasica_v33.pdf,,pdfs_bmed_alto_custo\113_etanercepte_artrite_psoriasica_v33.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/113_etanercepte_artrite_psoriasica_v33.pdf
etanercepte,114_etanercepte_artrite_reumatoide_v39.pdf,,pdfs_bmed_alto_custo\114_etanercepte_artrite_reumatoide_v39.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/114_etanercepte_artrite_reumatoide_v39.pdf
etanercepte,115_etanercepte_espondilite_v33.pdf,,pdfs_bmed_alto_custo\115_etanercepte_espondilite_v33.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/115_etanercepte_espondilite_v33.pdf
etanercepte,461_etanercepte_psoriase__v19.pdf,,pdfs_bmed_alto_custo\461_etanercepte_psoriase__v19.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/461_etanercepte_psoriase__v19.pdf
etanercepte,487_etanercepte_artrite_idiopatica_v15_1_.pdf,,pdfs_bmed_alto_custo\487_etanercepte_artrite_idiopatica_v15_1_.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/487_etanercepte_artrite_idiopatica_v15_1_.pdf
etossuximida,116_etossuximida_epilepsia_v16_1_.pdf,,pdfs_bmed_alto_custo\116_etossuximida_epilepsia_v16_1_.pdf,http://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/116_etossuximida_epilepsia_v16_1_.pdf
everolimo,512_everolimo_transplante_cardiaco_v5_1_.pdf,,pdfs_bmed_alto_custo\512_everolimo_transplante_cardiaco_v5_1_.pdf,http://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/512_everolimo_transplante_cardiaco_v5_1_.pdf
everolimo,117_everolimo_transplante_renal_v12_1_.pdf,,pdfs_bmed_alto_custo\117_everolimo_transplante_renal_v12_1_.pdf,http://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/117_everolimo_transplante_renal_v12_1_.pdf
everolimo,283_everolimo_transplante_hepatico_adultos_v12.pdf,,pdfs_bmed_alto_custo\283_everolimo_transplante_hepatico_adultos_v12.pdf,http://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/283_everolimo_transplante_hepatico_adultos_v12.pdf
everolimo,305_everolimo_transplante_hepatico_pediatria_v4.pdf,,pdfs_bmed_alto_custo\305_everolimo_transplante_hepatico_pediatria_v4.pdf,http://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/305_everolimo_transplante_hepatico_pediatria_v4.pdf
