Medicamento,Nome_do_Arquivo_PDF,Doencas_CIDs,Caminho_Local,URL_Origem
adalimumabe,10_adalimumabe_hidradenite_v12_1_.pdf,,pdfs_bmed_alto_custo\10_adalimumabe_hidradenite_v12_1_.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/10_adalimumabe_hidradenite_v12_1_.pdf
adalimumabe,001_adalimumabe_psoriase_v6.pdf,,pdfs_bmed_alto_custo\001_adalimumabe_psoriase_v6.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/001_adalimumabe_psoriase_v6.pdf
adalimumabe,466_adalimumabe_uveite_v6.pdf,,pdfs_bmed_alto_custo\466_adalimumabe_uveite_v6.pdf,https://saude.sp.gov.br/resources/ses/perfil/gestor/assistencia-farmaceutica/medicamentos-do-componente-especializado-da-assistencia-farmaceutica/466_adalimumabe_uveite_v6.pdf
alfagalsidase,alfagalsidade_doenca_de_fabry_v6.pdf,,pdfs_bmed_alto_custo\alfagalsidade_doenca_de_fabry_v6.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/alfagalsidade_doenca_de_fabry_v6.pdf
Alfataliglicerase,alfataliglicerase_v23_1_.pdf,,pdfs_bmed_alto_custo\alfataliglicerase_v23_1_.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/alfataliglicerase_v23_1_.pdf
alfadornase,11_alfadornase_fibrose_cistica_v18_1_.pdf,,pdfs_bmed_alto_custo\11_alfadornase_fibrose_cistica_v18_1_.pdf,http://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/11_alfadornase_fibrose_cistica_v18_1_.pdf
alfaelosulfase,499_alfaelosulfase_mucopolissacaridose_tipo_iv_v5.pdf,,pdfs_bmed_alto_custo\499_alfaelosulfase_mucopolissacaridose_tipo_iv_v5.pdf,https://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/499_alfaelosulfase_mucopolissacaridose_tipo_iv_v5.pdf
alfaepoetina,12_alfaepoetina_anemia_inuficiencia_renal_v16.pdf,,pdfs_bmed_alto_custo\12_alfaepoetina_anemia_inuficiencia_renal_v16.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/12_alfaepoetina_anemia_inuficiencia_renal_v16.pdf
alfaepoetina,alfaepoetina_falciforme_v8.pdf,,pdfs_bmed_alto_custo\alfaepoetina_falciforme_v8.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/alfaepoetina_falciforme_v8.pdf
alfaepoetina,13_alfaepoetina_transplantedemedulaoupancreas_12_22.pdf,,pdfs_bmed_alto_custo\13_alfaepoetina_transplantedemedulaoupancreas_12_22.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/13_alfaepoetina_transplantedemedulaoupancreas_12_22.pdf
alfaepoetina,14_alfaepoetina_hepatite_c_v20.pdf,,pdfs_bmed_alto_custo\14_alfaepoetina_hepatite_c_v20.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/14_alfaepoetina_hepatite_c_v20.pdf
alfaepoetina,522_alfaepoetina_sindrome_mielodisplasica_de_baixo_risco_v9.pdf,,pdfs_bmed_alto_custo\522_alfaepoetina_sindrome_mielodisplasica_de_baixo_risco_v9.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/522_alfaepoetina_sindrome_mielodisplasica_de_baixo_risco_v9.pdf
